id,title,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,release_date,release_year,release_month,genres,budget_safe,runtime_safe,vote_count_safe,month_sin,month_cos,release_competition,log_budget,log_vote_count,popularity_score,vote_density,popularity_per_budget,budget_per_minute,hype_score,is_summer_release,is_holiday_release,is_sequel,is_hit,roi
79,Hero,31000000,177394432,99,21.472,7.509,2032,zh,2002-07-22,2002,7,"Drama, Adventure, Action, History",31000000,99,2032,-0.4999999999999997,-0.8660254037844388,780.0,17.249497794707484,7.617267813628347,161.233248,20.525252525252526,6.926451612903226e-07,310000.0,43631.104,1,0,0,1,4.722400879922552
8202,Æon Flux,62000000,53321673,93,19.065,5.593,2032,en,2005-11-30,2005,11,"Science Fiction, Action, Thriller",62000000,93,2032,-0.5000000000000004,0.8660254037844384,809.0,17.9426449591384,7.617267813628347,106.63054500000001,21.849462365591396,3.075e-07,659574.4680851063,38740.08,0,1,0,1,-0.139973013871403
72571,Paranormal Activity 3,5000000,207039844,94,32.178,5.901,2031,en,2011-10-19,2011,10,"Horror, Mystery",5000000,94,2031,-0.8660254037844386,0.5000000000000001,1036.0,15.424948670398354,7.616775808698373,189.882378,21.606382978723403,6.4356e-06,52631.57894736842,65353.518,0,0,1,1,40.40796071840786
11439,The Ghost Writer,45000000,60331447,128,12.429,6.826,2031,en,2010-02-12,2010,2,"Thriller, Mystery",45000000,128,2031,0.8660254037844386,0.5000000000000001,736.0,17.622173069956816,7.616775808698373,84.84035399999999,15.8671875,2.762e-07,348837.20930232556,25243.299,0,0,0,1,0.34069881465113744
58431,Pride and Prejudice and Zombies,28000000,16457494,108,25.09,6.146,2029,en,2016-02-04,2016,2,"Romance, Horror, Comedy, Thriller",28000000,108,2029,0.8660254037844386,0.5000000000000001,736.0,17.147715103853763,7.615791072035833,154.20314,18.787037037037038,8.960714285714285e-07,256880.73394495412,50907.61,0,0,0,1,-0.4122323424202735
10139,Milk,20000000,54589558,128,15.301,7.251,2029,en,2008-11-05,2008,11,"History, Drama",20000000,128,2029,-0.5000000000000004,0.8660254037844384,809.0,16.811242881518265,7.615791072035833,110.947551,15.8515625,7.6505e-07,155038.75968992247,31045.729,0,1,0,1,1.7294778135261093
502416,Ma,5000000,51749995,99,15.987,5.796,2027,en,2019-05-29,2019,5,"Horror, Thriller",5000000,99,2027,0.49999999999999994,-0.8660254037844387,785.0,15.424948670398354,7.614805364711073,92.660652,20.474747474747474,3.1974e-06,50000.0,32405.649,1,0,0,1,9.349997130000574
12102,Kramer vs. Kramer,8000000,106260000,105,15.286,7.555,2026,en,1979-12-07,1979,12,Drama,8000000,105,2026,-2.4492935982947064e-16,1.0,1029.0,15.894952224644102,7.614312146452,115.48572999999999,19.295238095238094,1.91075e-06,75471.69811320755,30969.435999999998,0,1,0,1,12.282498464687691
347375,Mile 22,35000000,66308758,95,19.766,6.198,2022,en,2018-08-16,2018,8,"Action, Thriller",35000000,95,2022,-0.8660254037844385,-0.5000000000000004,885.0,17.370858648025116,7.612336837167746,122.50966799999999,21.28421052631579,5.647428571428571e-07,364583.3333333333,39966.852,1,0,1,1,0.8945359172989737
9397,Evolution,79910000,98376292,101,23.21,6.051,2022,en,2001-06-08,2001,6,"Comedy, Science Fiction, Action",79910000,101,2022,1.2246467991473532e-16,-1.0,840.0,18.196411571864722,7.612336837167746,140.44371,20.019801980198018,2.9045175822800653e-07,783431.3725490196,46930.62,1,0,0,1,0.2310886218109295
